Well,KH,KV,PhiH,PhiF,So,Sw,Grain_Density gm per cc
QSR-16,0.316,,0.16,0.21,0.02,0.69,2.71
QSR-16,16.479,2.615,0.18,0.24,0.08,0.66,2.71
QSR-16,1.24,,0.17,0.15,0,0.81,2.74
QSR-16,0.717,,0.17,0.19,0.07,0.67,2.74
QSR-16,0.134,0.093,0.12,0.12,0,0.69,2.7
QSR-16,0.104,,0.08,0.09,0,0.73,2.74
QSR-16,0.997,,0.09,0.13,0,0.82,2.77
QSR-16,,0.009,,0.11,0,0.87,
QSR-16,0.077,,0.09,0.15,0,0.85,2.79
QSR-16,0.071,,0.07,0.14,0,0.83,2.77
QSR-16,0.022,0.005,0.07,0.05,0,0.58,2.75
QSR-16,0.25,,0.12,0.06,0,0.39,2.77
QSR-16,0.162,,0.13,0.13,0,0.75,2.77
QSR-16,1.227,0.058,0.1,0.1,0,0.73,2.72
QSR-16,0.138,,0.12,0.04,0,0.05,2.78
QSR-16,0.102,,0.09,0.06,0,0.61,2.76
QSR-16,0.018,0.007,0.06,0.05,0.04,0.55,2.74
QSR-16,0.07,,0.06,0.04,0,0.48,2.74
QSR-16,0.036,,0.08,0.09,0,0.74,2.74
QSR-16,0.014,0.009,0.07,0.12,0,0.69,2.79
QSR-16,0.148,,0.1,0.11,0,0.76,2.75
QSR-16,0.007,,0.07,0.11,0,0.64,2.73
QSR-16,0.01,0.024,0.08,0.08,0,0.7,2.76
QSR-16,0.008,,0.05,0.07,0,0.76,2.72
QSR-16,0.068,,0.1,0.07,0,0.64,2.72
QSR-16,0.062,0.009,0.08,0.05,0,0.42,2.75
QSR-16,0.005,,0.06,0.09,0,0.72,2.72
QSR-16,0.005,,0.07,0.04,0,0.3,2.75
QSR-16,0.009,0.007,0.09,0.09,0.02,0.61,2.78
QSR-16,0.011,,0.07,0.07,0,0.7,2.75
QSR-16,0.036,,0.08,0.13,0,0.8,2.76
QSR-16,0.02,0.007,0.08,0.2,0.03,0.84,2.77
QSR-16,83.597,,0.2,0.16,0,0.72,2.67
QSR-16,5.941,,0.11,0.21,0,0.75,2.75
QSR-16,24.713,30.156,0.17,0.18,0,0.81,2.71
QSR-16,27.362,,0.18,0.17,0,0.71,2.71
QSR-16,29.456,,0.2,0.17,0,0.7,2.67
QSR-16,13.227,2.862,0.15,0.17,0.01,0.76,2.72
QSR-16,0.642,,0.13,0.18,0,0.83,2.75
QSR-16,4.956,,0.17,0.13,0,0.7,2.68
QSR-16,0.485,0.486,0.13,0.13,0,0.73,2.71
QSR-16,0.097,,0.11,0.14,0,0.78,2.81
QSR-16,0.948,,0.13,0.18,0,0.9,2.83
QSR-16,9.53,0.259,0.18,0.22,0,0.74,2.69
QSR-16,104.33,,0.2,0.17,0,0.7,2.69
QSR-16,0.104,,0.13,0.14,0.04,0.66,2.95
QSR-16,,0.005,0.1,0.16,0,0.88,2.69
QSR-16,10.96,,0.19,0.19,0,0.71,2.76
QSR-16,10.843,,0.18,0.19,0,0.8,2.7
QSR-16,17.789,0.529,0.15,0.19,0,0.78,2.72
QSR-16,53.05,,0.18,0.1,0,0.36,2.74
QSR-16,6.509,,0.13,0.12,0,0.74,2.75
QSR-16,51.702,2.248,0.17,0.18,0,0.82,2.71
QSR-16,72.63,,0.2,0.18,0,0.85,2.7
QSR-16,133.853,,0.22,0.21,0,0.83,2.7
QSR-26,2.79,1.367,0.23,0.26,0.13,0.65,2.67
QSR-26,13.752,,0.23,0.12,0.07,0.29,2.66
QSR-26,14.316,,0.24,0.24,0.11,0.62,2.66
QSR-26,23.509,0.651,0.24,0.07,0,0.03,2.65
QSR-26,5.947,,0.24,0.25,0.03,0.72,2.66
QSR-26,6.576,,0.26,0.17,0.07,0.62,2.65
QSR-26,2.631,1.134,0.27,0.18,0.05,0.71,2.66
QSR-26,1.189,,0.25,0.24,0.04,0.74,2.69
QSR-26,2.495,,0.23,0.23,0.05,0.71,2.66
QSR-26,3.172,0.666,0.24,0.13,0.07,0.51,2.67
QSR-26,0.646,,0.21,0.2,0.05,0.6,2.67
QSR-26,0.776,,0.23,0.11,0,0.72,2.67
QSR-26,2.974,1.364,0.26,0.28,0.02,0.78,2.66
QSR-26,3.067,,0.23,0.2,0,0.74,2.66
QSR-26,0.878,,0.16,0.12,0,0.6,2.66
QSR-26,1.468,0.861,0.27,0.23,0,0.78,2.67
QSR-26,0.373,,0.17,0.16,0,0.76,2.69
QSR-26,0.984,,0.15,0.17,0.01,0.72,2.69
QSR-26,0.666,0.336,0.19,0.19,0.01,0.78,2.66
QSR-26,0.428,,0.17,0.19,0.04,0.74,2.67
QSR-26,34.355,,0.23,0.25,0.11,0.59,2.69
QSR-26,7.028,0.009,0.2,0.25,0.07,0.6,2.72
QSR-26,81.279,,0.22,0.19,0.05,0.6,2.68
QSR-26,3.681,,0.2,0.24,0.08,0.6,2.69
QSR-26,578.34,1.533,0.24,0.22,0.02,0.75,2.67
QSR-26,517.447,,0.23,0.23,0.03,0.67,2.69
QSR-26,536.191,,0.23,0.2,0.04,0.69,2.66
QSR-26,204.982,1.427,0.2,0.17,0.04,0.72,2.67
QSR-26,,,,0.21,0.08,0.6,
QSR-26,28.48,,0.17,0.17,0.21,0.5,2.68
QSR-26,19.036,0.174,0.19,0.12,0.17,0.31,2.68
QSR-26,193.778,,0.18,0.05,0,0.65,2.65
QSR-26,0.173,,0.17,0.16,0,0.87,2.66
QSR-26,,0.011,0.14,0.04,0,0.48,2.69
QSR-26,0.051,,0.17,0.13,0,0.92,2.7
QSR-26,0.791,,0.13,0.02,0,0.13,2.71
QSR-26,0.179,0.038,0.15,0.07,0,0.81,2.69
QSR-26,2.627,,0.13,0.1,0,0.82,2.68
QSR-26,0.03,0.29,0.13,0.09,0,0.85,2.71
QSR-26,0.16,0.071,0.11,0.12,0,0.91,2.69
QSR-26,,,,,,,
QSR-26,,,,,,,
QSR-26,28.796,1.501,0.21,0.18,0,0.78,2.71
QSR-26,56.592,,0.2,0.2,0,0.68,2.69
QSR-26,75.316,,0.23,0.2,0.01,0.86,2.7
QSR-26,62.141,6.951,0.23,0.15,0.05,0.52,2.77
QSR-26,10.749,,0.21,0.21,0,0.83,2.72
QSR-26,,,0.14,0.16,0,0.83,2.77
QSR-26,,,0.12,0.13,0,0.85,2.76
QSR-26,7.494,,0.21,0.19,0,0.86,2.71
QSR-26,11.595,,0.26,0.14,0,0.73,2.72
QSR-26,10.058,4.185,0.14,0.13,0,0.82,2.77
QSR-26,12.974,,0.17,0.18,0,0.8,2.75
QSR-26,30.914,,0.18,0.2,0,0.83,2.72
QSR-26,52.191,5.566,0.22,0.15,0,0.66,2.71
QSR-26,55.194,,0.23,0.27,0,0.91,2.73
QSR-26,12.992,,0.2,0.17,0,0.84,2.75
QSR-26,42.746,1.524,0.18,0.17,0,0.85,2.71
QSR-26,64.218,,0.2,0.19,0,0.82,2.71
QSR-26,2.038,,0.17,0.17,0.01,0.82,2.74
QSR-26,3.727,0.64,0.14,0.17,0,0.81,2.74
QSR-26,8.139,,0.16,0.14,0,0.77,2.73
QSR-26,0.068,,0.1,0.05,0,0.79,2.74
QSR-26,0.017,0.013,0.1,0.05,0,0.71,2.78
QSR-26,0.018,,0.1,0.07,0.08,0.68,2.8
QSR-26,0.021,,0.08,0.06,0.12,0.67,2.75
QSR-26,0.02,0.018,0.08,0.06,0,0.75,2.77
QSR-26,0.054,,0.11,0.07,0.08,0.72,2.86
QSR-26,0.029,,0.09,0.07,0,0.83,2.8
QSR-26,0.008,0.009,0.09,0.01,0,0.15,2.78
QSR-26,0.058,,0.09,0.03,0,0.31,2.82
QSR-26,0.02,,0.1,0.07,0,0.76,2.79
QSR-26,0.029,0.021,0.09,0.07,0,0.78,2.78
QSR-26,,,0.12,0.08,0.03,0.79,2.81
QSR-26,0.021,,0.11,0.06,0,0.81,2.84
QSR-26,0.038,0.013,0.1,0.04,0,0.74,2.8
QSR-26,0.038,,0.09,0.06,0,0.81,2.78
QSR-26,0.033,,0.11,0.14,0,0.72,2.8
QSR-26,0.094,0.051,0.1,0.09,0,0.86,2.74
QSR-26,0.456,,0.11,0.08,0,0.88,2.68
QSR-26,30.157,,0.15,0.12,0,0.73,2.7
QSR-26,24.36,9.276,0.17,0.07,0,0.56,2.71
QSR-26,1.245,,0.14,0.1,0,0.83,2.78
QSR-26,,,,,,,
QSR-26,,,,,,,
QSR-26,,,,,,,
QSR-26,,,,,,,
QSR-26,170.391,115.325,0.21,0.18,0,0.83,2.88
QSR-26,149.437,,0.19,0.13,0,0.81,2.7
